epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,9910.4,0.94766,0.62561,0.8887,0.97983,0.90871,0.95349,0.79428,0.58748,0.4252,0.69801,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10056.5,0.92896,0.6109,0.88747,0.98001,0.91103,0.95318,0.7962,0.58814,0.42581,0.69754,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10202.2,0.93394,0.6232,0.89124,0.98083,0.91425,0.95365,0.79588,0.58101,0.41124,0.6957,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10348,0.91622,0.60777,0.88059,0.98394,0.91265,0.95503,0.79697,0.5781,0.40802,0.69469,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10494.2,0.90799,0.60569,0.88552,0.98695,0.91103,0.9558,0.79839,0.57319,0.40595,0.69411,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10640.7,0.90302,0.59556,0.87801,0.98905,0.9087,0.95621,0.80005,0.57025,0.4049,0.69365,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10788,0.88121,0.58522,0.88392,0.97963,0.91894,0.95629,0.80415,0.56383,0.40222,0.69234,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10934.5,0.89428,0.58627,0.87887,0.99014,0.91093,0.95654,0.80575,0.55867,0.3978,0.69194,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11080.5,0.87067,0.57419,0.87886,0.98871,0.91012,0.95735,0.80622,0.55691,0.39598,0.69139,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11227.1,0.87234,0.57808,0.87651,0.98964,0.91321,0.95777,0.80686,0.55673,0.39541,0.6914,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11373.8,0.85689,0.56122,0.8716,0.98622,0.91631,0.95813,0.80931,0.553,0.39115,0.69103,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11520.5,0.8467,0.55607,0.87121,0.98081,0.92064,0.95879,0.80972,0.5516,0.38454,0.69061,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11666.8,0.8312,0.55182,0.86536,0.9839,0.9168,0.95876,0.81007,0.54494,0.37833,0.68961,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11812.5,0.82537,0.54198,0.87181,0.9864,0.91606,0.95936,0.81363,0.54152,0.37619,0.68905,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11959.1,0.81127,0.53695,0.86485,0.97691,0.92634,0.95923,0.81593,0.53715,0.37168,0.68864,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12105.8,0.81897,0.54347,0.86397,0.98595,0.9201,0.95952,0.81713,0.53247,0.36733,0.68812,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12252.3,0.80026,0.5333,0.86336,0.98664,0.92073,0.96029,0.81985,0.53139,0.36789,0.68809,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12398.6,0.78063,0.51872,0.8614,0.98292,0.92395,0.96059,0.8202,0.52876,0.368,0.6876,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12544.8,0.78737,0.52229,0.85813,0.98483,0.92603,0.96118,0.82114,0.52485,0.36376,0.68697,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,12690.9,0.77401,0.51187,0.85839,0.98528,0.92364,0.96134,0.8244,0.5208,0.35992,0.68666,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,12837.2,0.7506,0.50256,0.84999,0.98763,0.92135,0.96178,0.82687,0.51779,0.35804,0.6863,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,12984.1,0.75925,0.49721,0.85932,0.98657,0.92207,0.96184,0.8268,0.51469,0.35649,0.68597,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,13130.8,0.77139,0.5075,0.85571,0.98758,0.92286,0.96189,0.83044,0.5105,0.3537,0.68529,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,13276.9,0.73579,0.48242,0.85138,0.98734,0.92409,0.96215,0.83018,0.50691,0.35189,0.68463,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,13423.2,0.71531,0.48255,0.84992,0.98871,0.92348,0.96185,0.83046,0.50644,0.35007,0.68434,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,13567.3,0.68147,0.451,0.84405,0.98735,0.92398,0.96222,0.83289,0.50402,0.34835,0.68378,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,13712.8,0.69477,0.45758,0.84695,0.98915,0.92397,0.96247,0.83297,0.50262,0.34663,0.68298,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,13858.2,0.6655,0.43279,0.8421,0.98373,0.92823,0.9625,0.83401,0.50083,0.34516,0.68258,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,14003.2,0.65692,0.44012,0.83752,0.98578,0.92824,0.96252,0.83489,0.49885,0.34371,0.68212,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,14148.5,0.65683,0.45074,0.83695,0.98554,0.92845,0.96251,0.83634,0.49729,0.34199,0.68192,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,14294.3,0.63711,0.42885,0.83512,0.98424,0.92982,0.96328,0.83796,0.49645,0.34145,0.68152,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,14439.8,0.62377,0.41472,0.8358,0.98564,0.93041,0.96357,0.83821,0.495,0.34006,0.68144,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,14585.3,0.61856,0.41539,0.83675,0.98508,0.93083,0.96368,0.83822,0.49306,0.33861,0.68119,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,14730.9,0.62137,0.41581,0.84034,0.98493,0.93083,0.96376,0.83819,0.49213,0.33642,0.68084,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
